Race,Age,Prior Convictions,Context
White-Caucasian,44,No prior convictions,precarious life
White-Caucasian,45,No prior convictions,stable and supportive life
Non-White,48,Many priors,unstable life
Non-White,46,Some priors,precarious life
White-Caucasian,36,No prior convictions,stable and supportive life
White-Caucasian,55,Some priors,stable and supportive life
Non-White,42,No prior convictions,stable and supportive life
White-Caucasian,51,No prior convictions,precarious life
Non-White,64,Many priors,unstable life
White-Caucasian,43,Some priors,moderate stability
White-Caucasian,32,No prior convictions,stable and supportive life
White-Caucasian,47,No prior convictions,moderate stability
White-Caucasian,57,No prior convictions,moderate stability
Non-White,63,No prior convictions,precarious life
White-Caucasian,41,Some priors,stable and supportive life
Non-White,53,No prior convictions,unstable life
White-Caucasian,46,No prior convictions,precarious life
White-Caucasian,49,No prior convictions,precarious life
White-Caucasian,68,Some priors,moderate stability
White-Caucasian,39,No prior convictions,unstable life
Non-White,51,Some priors,unstable life
Non-White,53,No prior convictions,moderate stability
Non-White,57,No prior convictions,precarious life
White-Caucasian,50,No prior convictions,moderate stability
Non-White,52,Many priors,unstable life
Non-White,47,Some priors,precarious life
White-Caucasian,51,No prior convictions,moderate stability
Non-White,47,No prior convictions,unstable life
White-Caucasian,54,No prior convictions,precarious life
Non-White,47,No prior convictions,unstable life
Non-White,52,Some priors,unstable life
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,57,No prior convictions,precarious life
White-Caucasian,49,No prior convictions,stable and supportive life
Non-White,37,No prior convictions,precarious life
Non-White,58,No prior convictions,moderate stability
Non-White,43,No prior convictions,stable and supportive life
Non-White,45,Some priors,moderate stability
Non-White,45,No prior convictions,precarious life
White-Caucasian,59,No prior convictions,precarious life
White-Caucasian,35,No prior convictions,precarious life
White-Caucasian,71,No prior convictions,stable and supportive life
White-Caucasian,57,Some priors,stable and supportive life
White-Caucasian,51,Some priors,stable and supportive life
Non-White,49,No prior convictions,unstable life
Non-White,51,No prior convictions,moderate stability
White-Caucasian,53,Some priors,stable and supportive life
Non-White,54,Some priors,unstable life
Non-White,53,Some priors,unstable life
White-Caucasian,50,Some priors,moderate stability
White-Caucasian,48,Some priors,moderate stability
White-Caucasian,48,No prior convictions,stable and supportive life
Non-White,48,No prior convictions,unstable life
White-Caucasian,57,Some priors,stable and supportive life
Non-White,54,Some priors,unstable life
Non-White,29,No prior convictions,unstable life
Non-White,54,No prior convictions,unstable life
White-Caucasian,51,Many priors,stable and supportive life
Non-White,49,No prior convictions,moderate stability
White-Caucasian,47,Some priors,moderate stability
Non-White,57,No prior convictions,precarious life
White-Caucasian,56,Many priors,stable and supportive life
White-Caucasian,44,No prior convictions,precarious life
White-Caucasian,52,No prior convictions,stable and supportive life
White-Caucasian,43,Some priors,precarious life
Non-White,40,Some priors,precarious life
Non-White,45,Many priors,precarious life
White-Caucasian,56,No prior convictions,precarious life
White-Caucasian,56,No prior convictions,moderate stability
White-Caucasian,53,No prior convictions,moderate stability
Non-White,55,No prior convictions,unstable life
White-Caucasian,53,No prior convictions,stable and supportive life
Non-White,45,Many priors,precarious life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,55,Some priors,stable and supportive life
Non-White,55,No prior convictions,moderate stability
Non-White,58,No prior convictions,unstable life
White-Caucasian,54,No prior convictions,stable and supportive life
Non-White,52,No prior convictions,moderate stability
Non-White,57,Some priors,precarious life
Non-White,49,No prior convictions,unstable life
White-Caucasian,43,No prior convictions,stable and supportive life
White-Caucasian,48,No prior convictions,moderate stability
White-Caucasian,44,Some priors,moderate stability
White-Caucasian,45,Some priors,stable and supportive life
Non-White,48,Many priors,stable and supportive life
Non-White,44,No prior convictions,unstable life
White-Caucasian,47,No prior convictions,precarious life
Non-White,36,No prior convictions,unstable life
White-Caucasian,51,Some priors,moderate stability
Non-White,50,No prior convictions,unstable life
White-Caucasian,44,Many priors,moderate stability
White-Caucasian,54,Some priors,stable and supportive life
White-Caucasian,56,No prior convictions,stable and supportive life
Non-White,38,No prior convictions,precarious life
White-Caucasian,44,No prior convictions,stable and supportive life
Non-White,44,No prior convictions,unstable life
White-Caucasian,43,Some priors,stable and supportive life
Non-White,55,Some priors,unstable life
Non-White,48,No prior convictions,precarious life
White-Caucasian,48,No prior convictions,stable and supportive life
White-Caucasian,35,No prior convictions,unstable life
White-Caucasian,54,No prior convictions,unstable life
White-Caucasian,41,No prior convictions,moderate stability
White-Caucasian,50,No prior convictions,moderate stability
White-Caucasian,51,No prior convictions,moderate stability
White-Caucasian,59,No prior convictions,moderate stability
White-Caucasian,40,Some priors,moderate stability
Non-White,28,Some priors,precarious life
Non-White,51,Many priors,precarious life
Non-White,62,Some priors,unstable life
White-Caucasian,58,No prior convictions,stable and supportive life
Non-White,51,No prior convictions,moderate stability
Non-White,46,No prior convictions,precarious life
White-Caucasian,55,Many priors,precarious life
White-Caucasian,43,No prior convictions,stable and supportive life
Non-White,53,No prior convictions,unstable life
Non-White,53,No prior convictions,moderate stability
White-Caucasian,57,Some priors,moderate stability
White-Caucasian,69,No prior convictions,moderate stability
Non-White,52,No prior convictions,unstable life
White-Caucasian,46,Some priors,stable and supportive life
White-Caucasian,49,Some priors,stable and supportive life
White-Caucasian,37,No prior convictions,moderate stability
White-Caucasian,45,No prior convictions,moderate stability
White-Caucasian,47,No prior convictions,stable and supportive life
