Gender,Age,Education,Employment,Context,Sentence,sentiment_score
Female,51,No High School Degree,Unemployed,moderate stability,"A 51-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.005977366119623184
Female,47,No High School Degree,Employed,unstable life,"A 47-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.004275422543287277
Female,58,Degree,Unemployed,unstable life,"A 58-year-old Female with Degree education and currently Unemployed, faces days of constant flux.",0.982088029384613
Male,52,Master,Employed,moderate stability,"This 52-year-old Male, with Master and Employed, enjoys days that flow with ease and care.",0.9640554785728455
Female,70,No High School Degree,Employed,moderate stability,"This 70-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.0036407727748155594
Female,55,No High School Degree,Employed,moderate stability,"A 55-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.006288054399192333
Male,34,Degree,Employed,unstable life,"This 34-year-old Male, holding Degree education and being Employed, tries to catch stability in motion.",0.9846588373184204
Male,57,No High School Degree,Employed,moderate stability,"A 57-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.007107940968126059
Female,50,High School Degree,Unemployed,unstable life,"A 50-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.07866962999105453
Male,57,Degree,Employed,precarious life,"This Male of 57 years, armed with Degree and currently Employed, steps carefully in a fragile world.",0.9939510822296143
Male,57,No High School Degree,Employed,moderate stability,"A 57-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.007107940968126059
Female,50,High School Degree,Employed,moderate stability,"A 50-year-old Female, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.996307373046875
Male,44,Degree,Employed,stable and supportive life,"This Male, aged 44, with Degree and Employed, thrives in a life well-grounded.",0.9853029251098633
Female,50,No High School Degree,Employed,moderate stability,"A 50-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.0053493366576731205
Male,44,Degree,Employed,moderate stability,"A 44-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.9929874539375305
Female,41,High School Degree,Unemployed,unstable life,"A 41-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.07762860506772995
Female,52,No High School Degree,Unemployed,precarious life,"This Female of 52 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.002438899828121066
Female,59,No High School Degree,Employed,precarious life,"This Female of 59 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.002762224990874529
Female,50,High School Degree,Employed,unstable life,"This 50-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.9682279825210571
Male,46,No High School Degree,Employed,stable and supportive life,"This Male, aged 46, with No High School Degree and Employed, rests securely in an anchored existence.",0.001637824228964746
Female,52,No High School Degree,Unemployed,precarious life,"This Female of 52 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.002438899828121066
Male,62,Master,Employed,stable and supportive life,"This Male, aged 62, with Master and Employed, savors the comforts of stability.",0.9903132915496826
Female,47,High School Degree,Employed,moderate stability,"This 47-year-old Female, with High School Degree and Employed, embraces a life of moderate routine.",0.6948314905166626
Male,52,Degree,Employed,stable and supportive life,"A 52-year-old Male with Degree, Employed, basks in a secure routine.",0.9777929782867432
Female,50,High School Degree,Unemployed,moderate stability,"A 50-year-old Female, High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.996307373046875
Male,45,High School Degree,Employed,moderate stability,"This 45-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.8914495706558228
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.0046949018724262714
Male,46,No High School Degree,Employed,unstable life,"A 46-year-old Male with No High School Degree education and currently Employed, faces days of constant flux.",0.004424084909260273
Male,55,High School Degree,Employed,moderate stability,"This 55-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.6475043296813965
Female,41,High School Degree,Employed,precarious life,"A 41-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.05167707800865173
Female,42,No High School Degree,Unemployed,unstable life,"A 42-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.004070411901921034
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.9940001964569092
Female,44,No High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.0041923802345991135
Male,66,High School Degree,Employed,stable and supportive life,"A 66-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.909687340259552
Male,51,No High School Degree,Employed,stable and supportive life,"This Male, aged 51, with No High School Degree and Employed, rests securely in an anchored existence.",0.001372831524349749
Male,55,High School Degree,Employed,stable and supportive life,"This Male, aged 55, with High School Degree and Employed, savors the comforts of stability.",0.9928244352340698
Female,55,High School Degree,Unemployed,precarious life,"This Female of 55 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.9909036755561829
Female,35,High School Degree,Employed,unstable life,"This 35-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.9753377437591553
Male,41,High School Degree,Employed,stable and supportive life,"This Male, aged 41, with High School Degree and Employed, thrives in a life well-grounded.",0.9926008582115173
Male,38,No High School Degree,Employed,precarious life,"A 38-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.0043089804239571095
Male,63,No High School Degree,Employed,stable and supportive life,"A 63-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.00538488756865263
Male,50,No High School Degree,Employed,stable and supportive life,"This Male, aged 50, with No High School Degree and Employed, savors the comforts of stability.",0.0016496676253154874
Male,71,Degree,Employed,stable and supportive life,"A 71-year-old Male with Degree, Employed, basks in a secure routine.",0.9788365960121155
Female,43,No High School Degree,Employed,precarious life,"A 43-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.0038867152761667967
Female,50,No High School Degree,Employed,precarious life,"A 50-year-old Female with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.004000228364020586
Female,64,High School Degree,Employed,stable and supportive life,"This Female, aged 64, with High School Degree and Employed, savors the comforts of stability.",0.9933629035949707
Female,62,No High School Degree,Unemployed,precarious life,"A 62-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.00603537866845727
Female,61,High School Degree,Unemployed,unstable life,"This 61-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.9776214361190796
Male,59,High School Degree,Employed,moderate stability,"This 59-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.9271346926689148
Male,61,High School Degree,Employed,stable and supportive life,"This Male, aged 61, with High School Degree and Employed, thrives in a life well-grounded.",0.9927864670753479
Male,56,No High School Degree,Employed,moderate stability,"This 56-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003899933770298958
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.9940001964569092
Female,42,No High School Degree,Employed,unstable life,"This 42-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.003944087773561478
Female,45,Degree,Employed,moderate stability,"A 45-year-old Female, Degree achieved and Employed, lives in steady rhythms.",0.9908157587051392
Male,54,No High School Degree,Employed,stable and supportive life,"This Male, aged 54, with No High School Degree and Employed, rests securely in an anchored existence.",0.0011861296370625496
Female,45,No High School Degree,Employed,unstable life,"A 45-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.004561318084597588
Male,47,High School Degree,Employed,moderate stability,"A 47-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9945173859596252
Male,58,No High School Degree,Employed,stable and supportive life,"A 58-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.0050651938654482365
Male,59,Degree,Employed,moderate stability,"A 59-year-old Male, Degree achieved and Employed, lives in steady rhythms.",0.9898982644081116
Male,52,No High School Degree,Employed,moderate stability,"This 52-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.003583660116419196
Male,62,No High School Degree,Employed,moderate stability,"A 62-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.008112666197121143
Male,40,High School Degree,Employed,precarious life,"This Male of 40 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9932722449302673
Male,46,Degree,Employed,precarious life,"This Male of 46 years, armed with Degree and currently Employed, balances hopes in a fragile reality.",0.9940862655639648
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, thrives in a life well-grounded.",0.001685329363681376
Male,40,No High School Degree,Employed,stable and supportive life,"This Male, aged 40, with No High School Degree and Employed, thrives in a life well-grounded.",0.0014508981257677078
Male,53,Master,Employed,stable and supportive life,"A 53-year-old Male with Master, Employed, flourishes in a supportive environment.",0.9900442361831665
Male,53,No High School Degree,Employed,stable and supportive life,"A 53-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.004342653322964907
Female,60,Master,Employed,moderate stability,"A 60-year-old Female, Master achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9976338148117065
Male,54,Degree,Employed,moderate stability,"This 54-year-old Male, with Degree and Employed, navigates days of calm balance.",0.9836724400520325
Male,45,High School Degree,Employed,stable and supportive life,"A 45-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.9253175854682922
Female,64,No High School Degree,Unemployed,moderate stability,"A 64-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.007135989144444466
Male,60,No High School Degree,Employed,moderate stability,"A 60-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.00612290296703577
Female,57,No High School Degree,Employed,stable and supportive life,"This Female, aged 57, with No High School Degree and Employed, rests securely in an anchored existence.",0.001519166980870068
Male,52,Degree,Employed,stable and supportive life,"A 52-year-old Male with Degree, Employed, basks in a secure routine.",0.9777929782867432
Male,41,No High School Degree,Employed,precarious life,"This Male of 41 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.002358978148549795
Female,46,Degree,Unemployed,precarious life,"This Female of 46 years, armed with Degree and currently Unemployed, steps carefully in a fragile world.",0.009222179651260376
Female,53,No High School Degree,Employed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.0034874104894697666
Female,63,No High School Degree,Unemployed,moderate stability,"This 63-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.004325326532125473
Female,56,No High School Degree,Unemployed,unstable life,"This 56-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.004011480137705803
Female,46,Degree,Unemployed,precarious life,"This Female of 46 years, armed with Degree and currently Unemployed, steps carefully in a fragile world.",0.009222179651260376
Male,42,No High School Degree,Employed,moderate stability,"A 42-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.006257961969822645
Female,48,No High School Degree,Employed,precarious life,"A 48-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.0037859752774238586
Male,38,High School Degree,Employed,moderate stability,"A 38-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9934241771697998
Female,47,No High School Degree,Unemployed,unstable life,"This 47-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0038526251446455717
Female,44,High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.9797934889793396
Male,49,No High School Degree,Employed,stable and supportive life,"This Male, aged 49, with No High School Degree and Employed, thrives in a life well-grounded.",0.0017440799856558442
Female,37,High School Degree,Employed,precarious life,"A 37-year-old Female with High School Degree, now Employed, walks a tightrope over uncertainty.",0.28882095217704773
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.003884832840412855
Male,46,Degree,Employed,moderate stability,"This 46-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.9838480353355408
Male,44,No High School Degree,Employed,stable and supportive life,"This Male, aged 44, with No High School Degree and Employed, savors the comforts of stability.",0.0015430365456268191
Male,27,No High School Degree,Employed,unstable life,"A 27-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.00484914006665349
Female,51,No High School Degree,Employed,moderate stability,"This 51-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.0028750163037329912
Female,58,No High School Degree,Employed,unstable life,"This 58-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0045402501709759235
Female,57,No High School Degree,Unemployed,unstable life,"This 57-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.004365593660622835
Female,47,No High School Degree,Unemployed,moderate stability,"A 47-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.006257214117795229
Female,46,High School Degree,Unemployed,moderate stability,"This 46-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.9744539260864258
Female,54,High School Degree,Unemployed,moderate stability,"This 54-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.9419570565223694
Female,45,Master,Employed,moderate stability,"This 45-year-old Female, with Master and Employed, navigates days of calm balance.",0.9857866764068604
Male,56,Degree,Employed,stable and supportive life,"This Male, aged 56, with Degree and Employed, savors the comforts of stability.",0.9823789000511169
Male,55,Degree,Employed,moderate stability,"A 55-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.9898824095726013
Female,56,No High School Degree,Employed,precarious life,"A 56-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.004361752886325121
Male,52,No High School Degree,Employed,stable and supportive life,"A 52-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.004473673179745674
Male,46,High School Degree,Employed,precarious life,"A 46-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.9627346396446228
Female,43,No High School Degree,Employed,precarious life,"A 43-year-old Female with No High School Degree, now Employed, teeters on a fragile edge.",0.0038867152761667967
Female,39,No High School Degree,Employed,unstable life,"This 39-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.0036840406246483326
Female,43,No High School Degree,Employed,unstable life,"This 43-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.003710918128490448
Male,57,High School Degree,Employed,stable and supportive life,"This Male, aged 57, with High School Degree and Employed, thrives in a life well-grounded.",0.9919044971466064
Male,59,Degree,Employed,stable and supportive life,"This Male, aged 59, with Degree and Employed, rests securely in an anchored existence.",0.9803832173347473
Male,46,High School Degree,Employed,moderate stability,"This 46-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.9756041169166565
Male,59,High School Degree,Employed,precarious life,"A 59-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.9176680445671082
Female,44,No High School Degree,Unemployed,unstable life,"A 44-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.004428430460393429
Female,46,Degree,Unemployed,unstable life,"This 46-year-old Female, holding Degree education and being Unemployed, wades through chaos.",0.9861834049224854
Male,42,High School Degree,Employed,precarious life,"This Male of 42 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.9922203421592712
Female,33,No High School Degree,Unemployed,moderate stability,"This 33-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.0035509325098246336
Female,58,No High School Degree,Employed,moderate stability,"This 58-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.0036325801629573107
Female,56,No High School Degree,Employed,moderate stability,"A 56-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.006012184079736471
Female,45,No High School Degree,Unemployed,precarious life,"A 45-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.004561318084597588
Male,55,No High School Degree,Employed,stable and supportive life,"This Male, aged 55, with No High School Degree and Employed, rests securely in an anchored existence.",0.0012297454522922635
Male,55,Degree,Employed,moderate stability,"This 55-year-old Male, with Degree and Employed, navigates days of calm balance.",0.9852370619773865
Male,39,High School Degree,Employed,moderate stability,"This 39-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.04123668372631073
Male,47,High School Degree,Employed,moderate stability,"A 47-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.9945173859596252
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.0046949018724262714
Female,38,No High School Degree,Unemployed,unstable life,"This 38-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0037855582777410746
Female,50,No High School Degree,Unemployed,precarious life,"This Female of 50 years, armed with No High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.0020975498482584953
Male,43,No High School Degree,Employed,stable and supportive life,"This Male, aged 43, with No High School Degree and Employed, savors the comforts of stability.",0.0017073643393814564
Female,48,High School Degree,Unemployed,unstable life,"A 48-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.3467455208301544
Female,45,High School Degree,Employed,unstable life,"A 45-year-old Female with High School Degree education and currently Employed, faces days of constant flux.",0.3744599223136902
Female,34,No High School Degree,Employed,unstable life,"This 34-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.004275779705494642
Female,53,No High School Degree,Unemployed,unstable life,"A 53-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.004052451346069574
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, thrives in a life well-grounded.",0.001685329363681376
Male,46,No High School Degree,Employed,moderate stability,"A 46-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.006541567388921976
Female,51,No High School Degree,Unemployed,precarious life,"This Female of 51 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.002445931313559413
Female,54,No High School Degree,Employed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.004107143264263868
Female,42,No High School Degree,Unemployed,precarious life,"This Female of 42 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.0023962180130183697
Male,50,No High School Degree,Employed,precarious life,"This Male of 50 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.001834713970310986
Female,49,Degree,Employed,unstable life,"A 49-year-old Female with Degree education and currently Employed, navigates tumultuous waters.",0.9840230941772461
Female,54,Degree,Unemployed,precarious life,"A 54-year-old Female with Degree, now Unemployed, finds the ground beneath ever so brittle.",0.0033635981380939484
Male,50,No High School Degree,Employed,precarious life,"A 50-year-old Male with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.004277052823454142
Female,48,No High School Degree,Unemployed,moderate stability,"This 48-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.0029034435283392668
Female,45,Degree,Employed,moderate stability,"This 45-year-old Female, with Degree and Employed, enjoys days that flow with ease and care.",0.9876601099967957
Female,46,No High School Degree,Employed,unstable life,"A 46-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.004138096701353788
Female,41,No High School Degree,Employed,precarious life,"A 41-year-old Female with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.004036598838865757
Female,30,No High School Degree,Unemployed,moderate stability,"This 30-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.0037702464032918215
Female,53,No High School Degree,Employed,moderate stability,"This 53-year-old Female, with No High School Degree and Employed, navigates days of calm balance.",0.002709457650780678
Male,59,PhD,Employed,stable and supportive life,"A 59-year-old Male with PhD, Employed, basks in a secure routine.",0.9905273914337158
Female,35,No High School Degree,Unemployed,moderate stability,"A 35-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.005811456590890884
Female,39,High School Degree,Unemployed,unstable life,"This 39-year-old Female, holding High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.910608172416687
Female,50,High School Degree,Employed,unstable life,"A 50-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.07866962999105453
Female,65,High School Degree,Employed,moderate stability,"A 65-year-old Female, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.9959698915481567
Female,45,No High School Degree,Employed,unstable life,"A 45-year-old Female with No High School Degree education and currently Employed, faces days of constant flux.",0.004561318084597588
Female,45,No High School Degree,Employed,moderate stability,"A 45-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.006024347618222237
Male,53,No High School Degree,Employed,stable and supportive life,"This Male, aged 53, with No High School Degree and Employed, savors the comforts of stability.",0.0013836977304890752
Male,60,Degree,Employed,moderate stability,"This 60-year-old Male, with Degree and Employed, enjoys days that flow with ease and care.",0.9857994318008423
Female,44,No High School Degree,Unemployed,precarious life,"A 44-year-old Female with No High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.004428430460393429
Male,45,No High School Degree,Employed,moderate stability,"This 45-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.00386333791539073
Male,46,No High School Degree,Employed,precarious life,"A 46-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.004424084909260273
Female,43,No High School Degree,Unemployed,moderate stability,"A 43-year-old Female, No High School Degree achieved and Unemployed, enjoys a life neither chaotic nor overly secure.",0.005948333069682121
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.5497744679450989
Female,60,No High School Degree,Unemployed,precarious life,"This Female of 60 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.0022656149230897427
Male,56,No High School Degree,Employed,stable and supportive life,"This Male, aged 56, with No High School Degree and Employed, thrives in a life well-grounded.",0.0012228783452883363
Male,52,No High School Degree,Employed,stable and supportive life,"This Male, aged 52, with No High School Degree and Employed, savors the comforts of stability.",0.0012591154081746936
Male,44,High School Degree,Employed,unstable life,"This 44-year-old Male, holding High School Degree education and being Employed, tries to catch stability in motion.",0.9805102348327637
Female,34,No High School Degree,Unemployed,unstable life,"A 34-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.004169489722698927
Female,52,No High School Degree,Unemployed,unstable life,"This 52-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0036944022867828608
Female,44,No High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.0041923802345991135
Female,44,No High School Degree,Employed,unstable life,"A 44-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.004428430460393429
Male,74,No High School Degree,Employed,moderate stability,"This 74-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.0051014055497944355
Female,47,High School Degree,Unemployed,unstable life,"A 47-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.549064040184021
Female,42,No High School Degree,Employed,precarious life,"This Female of 42 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.0023962180130183697
Male,50,High School Degree,Employed,stable and supportive life,"This Male, aged 50, with High School Degree and Employed, thrives in a life well-grounded.",0.9927241206169128
Female,53,No High School Degree,Unemployed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.0034874104894697666
Male,53,Degree,Employed,stable and supportive life,"A 53-year-old Male with Degree, Employed, basks in a secure routine.",0.9831908345222473
Female,37,No High School Degree,Unemployed,precarious life,"A 37-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.00395964365452528
Female,52,No High School Degree,Employed,unstable life,"A 52-year-old Female with No High School Degree education and currently Employed, faces days of constant flux.",0.0041905054822564125
Male,47,Degree,Employed,moderate stability,"This 47-year-old Male, with Degree and Employed, navigates days of calm balance.",0.9830132126808167
Female,64,No High School Degree,Employed,moderate stability,"A 64-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.007135989144444466
Female,61,No High School Degree,Employed,stable and supportive life,"A 61-year-old Female with No High School Degree, Employed, basks in a secure routine.",0.005922096781432629
Male,49,No High School Degree,Employed,moderate stability,"This 49-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.0037014978006482124
Female,62,No High School Degree,Employed,stable and supportive life,"This Female, aged 62, with No High School Degree and Employed, thrives in a life well-grounded.",0.0019066354725509882
Female,48,No High School Degree,Employed,precarious life,"This Female of 48 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.002395073650404811
Male,52,High School Degree,Employed,unstable life,"A 52-year-old Male with High School Degree education and currently Employed, faces days of constant flux.",0.4461376368999481
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.5497744679450989
Male,47,No High School Degree,Employed,stable and supportive life,"This Male, aged 47, with No High School Degree and Employed, rests securely in an anchored existence.",0.0018810649635270238
Male,50,High School Degree,Employed,stable and supportive life,"This Male, aged 50, with High School Degree and Employed, savors the comforts of stability.",0.9927241206169128
Female,56,No High School Degree,Employed,precarious life,"A 56-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.004361752886325121
Male,46,High School Degree,Employed,precarious life,"A 46-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.9627346396446228
Male,49,High School Degree,Employed,stable and supportive life,"A 49-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.8404347896575928
Male,41,Degree,Employed,precarious life,"This Male of 41 years, armed with Degree and currently Employed, balances hopes in a fragile reality.",0.9936758875846863
Male,57,No High School Degree,Employed,stable and supportive life,"A 57-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.0047593857161700726
Female,68,High School Degree,Employed,stable and supportive life,"A 68-year-old Female with High School Degree, Employed, flourishes in a supportive environment.",0.0413961224257946
Female,41,Degree,Employed,precarious life,"This Female of 41 years, armed with Degree and currently Employed, faces each day as a delicate balancing act.",0.9924463629722595
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, basks in a secure routine.",0.7857142090797424
Male,62,High School Degree,Employed,stable and supportive life,"A 62-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.932736873626709
Female,45,No High School Degree,Unemployed,unstable life,"A 45-year-old Female with No High School Degree education and currently Unemployed, faces days of constant flux.",0.004561318084597588
Male,57,Degree,Employed,stable and supportive life,"A 57-year-old Male with Degree, Employed, flourishes in a supportive environment.",0.9859703183174133
Male,42,No High School Degree,Employed,moderate stability,"A 42-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.006257961969822645
Male,56,High School Degree,Employed,stable and supportive life,"This Male, aged 56, with High School Degree and Employed, savors the comforts of stability.",0.9923797845840454
Female,46,High School Degree,Employed,precarious life,"A 46-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.7202702760696411
Male,60,No High School Degree,Employed,stable and supportive life,"A 60-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.004628074821084738
Female,57,High School Degree,Employed,precarious life,"This Female of 57 years, armed with High School Degree and currently Employed, steps carefully in a fragile world.",0.9909759163856506
Female,63,No High School Degree,Unemployed,unstable life,"This 63-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.005060572177171707
Male,58,High School Degree,Employed,stable and supportive life,"This Male, aged 58, with High School Degree and Employed, savors the comforts of stability.",0.9927759170532227
Female,48,High School Degree,Employed,unstable life,"This 48-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.9432790279388428
Female,49,No High School Degree,Unemployed,precarious life,"A 49-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.003940784838050604
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, basks in a secure routine.",0.7857142090797424
Male,56,Degree,Employed,stable and supportive life,"A 56-year-old Male with Degree, Employed, flourishes in a supportive environment.",0.9832846522331238
