Gender,Age,Education,Employment,Context,Sentence,toxicity_score
Female,51,No High School Degree,Unemployed,moderate stability,"A 51-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.14981430768966675
Female,47,No High School Degree,Employed,unstable life,"A 47-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.006404549349099398
Female,58,Degree,Unemployed,unstable life,"A 58-year-old Female with Degree education and currently Unemployed, faces days of constant flux.",0.10683205723762512
Male,52,Master,Employed,moderate stability,"This 52-year-old Male, with Master and Employed, enjoys days that flow with ease and care.",0.051538463681936264
Female,70,No High School Degree,Employed,moderate stability,"This 70-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.1460118591785431
Female,55,No High School Degree,Employed,moderate stability,"A 55-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.05822140350937843
Male,34,Degree,Employed,unstable life,"This 34-year-old Male, holding Degree education and being Employed, tries to catch stability in motion.",0.07488775998353958
Male,57,No High School Degree,Employed,moderate stability,"A 57-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.0264614075422287
Female,50,High School Degree,Unemployed,unstable life,"A 50-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.11586868017911911
Male,57,Degree,Employed,precarious life,"This Male of 57 years, armed with Degree and currently Employed, steps carefully in a fragile world.",0.012124515138566494
Male,57,No High School Degree,Employed,moderate stability,"A 57-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.013709528371691704
Female,50,High School Degree,Employed,moderate stability,"A 50-year-old Female, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.018432103097438812
Male,44,Degree,Employed,stable and supportive life,"This Male, aged 44, with Degree and Employed, thrives in a life well-grounded.",0.005111136473715305
Female,50,No High School Degree,Employed,moderate stability,"A 50-year-old Female, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.06817974895238876
Male,44,Degree,Employed,moderate stability,"A 44-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.008183872327208519
Female,41,High School Degree,Unemployed,unstable life,"A 41-year-old Female with High School Degree education and currently Unemployed, faces days of constant flux.",0.11212761700153351
Female,52,No High School Degree,Unemployed,precarious life,"This Female of 52 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.10984247177839279
Female,59,No High School Degree,Employed,precarious life,"This Female of 59 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.020855411887168884
Female,50,High School Degree,Employed,unstable life,"This 50-year-old Female, holding High School Degree education and being Employed, wades through chaos.",0.3098532557487488
Male,46,No High School Degree,Employed,stable and supportive life,"This Male, aged 46, with No High School Degree and Employed, rests securely in an anchored existence.",0.009058915078639984
Female,52,No High School Degree,Unemployed,precarious life,"This Female of 52 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.15257668495178223
Male,62,Master,Employed,stable and supportive life,"This Male, aged 62, with Master and Employed, savors the comforts of stability.",0.002424774691462517
Female,47,High School Degree,Employed,moderate stability,"This 47-year-old Female, with High School Degree and Employed, embraces a life of moderate routine.",0.08577631413936615
Male,52,Degree,Employed,stable and supportive life,"A 52-year-old Male with Degree, Employed, basks in a secure routine.",0.06356140226125717
Female,50,High School Degree,Unemployed,moderate stability,"A 50-year-old Female, High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.02062963880598545
Male,45,High School Degree,Employed,moderate stability,"This 45-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.06239710748195648
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.03783271461725235
Male,46,No High School Degree,Employed,unstable life,"A 46-year-old Male with No High School Degree education and currently Employed, faces days of constant flux.",0.03860802948474884
Male,55,High School Degree,Employed,moderate stability,"This 55-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.04666772857308388
Female,41,High School Degree,Employed,precarious life,"A 41-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.01897144503891468
Female,42,No High School Degree,Unemployed,unstable life,"A 42-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.09332078695297241
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.0013113879831507802
Female,44,No High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.3932524621486664
Male,66,High School Degree,Employed,stable and supportive life,"A 66-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.010771699249744415
Male,51,No High School Degree,Employed,stable and supportive life,"This Male, aged 51, with No High School Degree and Employed, rests securely in an anchored existence.",0.005462527275085449
Male,55,High School Degree,Employed,stable and supportive life,"This Male, aged 55, with High School Degree and Employed, savors the comforts of stability.",0.002389587229117751
Female,55,High School Degree,Unemployed,precarious life,"This Female of 55 years, armed with High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.08089067786931992
Female,35,High School Degree,Employed,unstable life,"This 35-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.12451977282762527
Male,41,High School Degree,Employed,stable and supportive life,"This Male, aged 41, with High School Degree and Employed, thrives in a life well-grounded.",0.0046964059583842754
Male,38,No High School Degree,Employed,precarious life,"A 38-year-old Male with No High School Degree, now Employed, teeters on a fragile edge.",0.0561172179877758
Male,63,No High School Degree,Employed,stable and supportive life,"A 63-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.04180761054158211
Male,50,No High School Degree,Employed,stable and supportive life,"This Male, aged 50, with No High School Degree and Employed, savors the comforts of stability.",0.004456474911421537
Male,71,Degree,Employed,stable and supportive life,"A 71-year-old Male with Degree, Employed, basks in a secure routine.",0.07571564614772797
Female,43,No High School Degree,Employed,precarious life,"A 43-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.08106473833322525
Female,50,No High School Degree,Employed,precarious life,"A 50-year-old Female with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.04024495556950569
Female,64,High School Degree,Employed,stable and supportive life,"This Female, aged 64, with High School Degree and Employed, savors the comforts of stability.",0.008510847575962543
Female,62,No High School Degree,Unemployed,precarious life,"A 62-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.18128874897956848
Female,61,High School Degree,Unemployed,unstable life,"This 61-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.1956273466348648
Male,59,High School Degree,Employed,moderate stability,"This 59-year-old Male, with High School Degree and Employed, enjoys days that flow with ease and care.",0.05486835539340973
Male,61,High School Degree,Employed,stable and supportive life,"This Male, aged 61, with High School Degree and Employed, thrives in a life well-grounded.",0.005413547623902559
Male,56,No High School Degree,Employed,moderate stability,"This 56-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.05292654410004616
Male,56,High School Degree,Employed,moderate stability,"A 56-year-old Male, High School Degree achieved and Employed, finds comfort in predictable patterns.",0.0013113879831507802
Female,42,No High School Degree,Employed,unstable life,"This 42-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.12997430562973022
Female,45,Degree,Employed,moderate stability,"A 45-year-old Female, Degree achieved and Employed, lives in steady rhythms.",0.028259774670004845
Male,54,No High School Degree,Employed,stable and supportive life,"This Male, aged 54, with No High School Degree and Employed, rests securely in an anchored existence.",0.010319631546735764
Female,45,No High School Degree,Employed,unstable life,"A 45-year-old Female with No High School Degree education and currently Employed, navigates tumultuous waters.",0.05049923062324524
Male,47,High School Degree,Employed,moderate stability,"A 47-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.00680147297680378
Male,58,No High School Degree,Employed,stable and supportive life,"A 58-year-old Male with No High School Degree, Employed, flourishes in a supportive environment.",0.014107828959822655
Male,59,Degree,Employed,moderate stability,"A 59-year-old Male, Degree achieved and Employed, lives in steady rhythms.",0.01413146685808897
Male,52,No High School Degree,Employed,moderate stability,"This 52-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.046152181923389435
Male,62,No High School Degree,Employed,moderate stability,"A 62-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.026073608547449112
Male,40,High School Degree,Employed,precarious life,"This Male of 40 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.007960040122270584
Male,46,Degree,Employed,precarious life,"This Male of 46 years, armed with Degree and currently Employed, balances hopes in a fragile reality.",0.01166448276489973
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, thrives in a life well-grounded.",0.00710968766361475
Male,40,No High School Degree,Employed,stable and supportive life,"This Male, aged 40, with No High School Degree and Employed, thrives in a life well-grounded.",0.012716683559119701
Male,53,Master,Employed,stable and supportive life,"A 53-year-old Male with Master, Employed, flourishes in a supportive environment.",0.016401471570134163
Male,53,No High School Degree,Employed,stable and supportive life,"A 53-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.028659887611865997
Female,60,Master,Employed,moderate stability,"A 60-year-old Female, Master achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.09582915902137756
Male,54,Degree,Employed,moderate stability,"This 54-year-old Male, with Degree and Employed, navigates days of calm balance.",0.015414388850331306
Male,45,High School Degree,Employed,stable and supportive life,"A 45-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.024203645065426826
Female,64,No High School Degree,Unemployed,moderate stability,"A 64-year-old Female, No High School Degree achieved and Unemployed, finds comfort in predictable patterns.",0.06941063702106476
Male,60,No High School Degree,Employed,moderate stability,"A 60-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.05929117277264595
Female,57,No High School Degree,Employed,stable and supportive life,"This Female, aged 57, with No High School Degree and Employed, rests securely in an anchored existence.",0.014200346544384956
Male,52,Degree,Employed,stable and supportive life,"A 52-year-old Male with Degree, Employed, basks in a secure routine.",0.06356140226125717
Male,41,No High School Degree,Employed,precarious life,"This Male of 41 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.017376340925693512
Female,46,Degree,Unemployed,precarious life,"This Female of 46 years, armed with Degree and currently Unemployed, steps carefully in a fragile world.",0.25848332047462463
Female,53,No High School Degree,Employed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.0930536612868309
Female,63,No High School Degree,Unemployed,moderate stability,"This 63-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.409373015165329
Female,56,No High School Degree,Unemployed,unstable life,"This 56-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.327188640832901
Female,46,Degree,Unemployed,precarious life,"This Female of 46 years, armed with Degree and currently Unemployed, steps carefully in a fragile world.",0.25848332047462463
Male,42,No High School Degree,Employed,moderate stability,"A 42-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.03583543375134468
Female,48,No High School Degree,Employed,precarious life,"A 48-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.08940451592206955
Male,38,High School Degree,Employed,moderate stability,"A 38-year-old Male, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.022162940353155136
Female,47,No High School Degree,Unemployed,unstable life,"This 47-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.6542851328849792
Female,44,High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding High School Degree education and being Unemployed, tries to catch stability in motion.",0.2110685557126999
Male,49,No High School Degree,Employed,stable and supportive life,"This Male, aged 49, with No High School Degree and Employed, thrives in a life well-grounded.",0.007736332714557648
Female,37,High School Degree,Employed,precarious life,"A 37-year-old Female with High School Degree, now Employed, walks a tightrope over uncertainty.",0.022818462923169136
Female,49,No High School Degree,Employed,unstable life,"This 49-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.09861196577548981
Male,46,Degree,Employed,moderate stability,"This 46-year-old Male, with Degree and Employed, embraces a life of moderate routine.",0.07757674902677536
Male,44,No High School Degree,Employed,stable and supportive life,"This Male, aged 44, with No High School Degree and Employed, savors the comforts of stability.",0.0037114450242370367
Male,27,No High School Degree,Employed,unstable life,"A 27-year-old Male with No High School Degree education and currently Employed, navigates tumultuous waters.",0.02534904144704342
Female,51,No High School Degree,Employed,moderate stability,"This 51-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.11474663764238358
Female,58,No High School Degree,Employed,unstable life,"This 58-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.07372619211673737
Female,57,No High School Degree,Unemployed,unstable life,"This 57-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.2898083031177521
Female,47,No High School Degree,Unemployed,moderate stability,"A 47-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.13686199486255646
Female,46,High School Degree,Unemployed,moderate stability,"This 46-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.12205170840024948
Female,54,High School Degree,Unemployed,moderate stability,"This 54-year-old Female, with High School Degree and Unemployed, navigates days of calm balance.",0.10908214747905731
Female,45,Master,Employed,moderate stability,"This 45-year-old Female, with Master and Employed, navigates days of calm balance.",0.03877268359065056
Male,56,Degree,Employed,stable and supportive life,"This Male, aged 56, with Degree and Employed, savors the comforts of stability.",0.0022033050190657377
Male,55,Degree,Employed,moderate stability,"A 55-year-old Male, Degree achieved and Employed, finds comfort in predictable patterns.",0.003811099799349904
Female,56,No High School Degree,Employed,precarious life,"A 56-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.05676283687353134
Male,52,No High School Degree,Employed,stable and supportive life,"A 52-year-old Male with No High School Degree, Employed, basks in a secure routine.",0.08648759126663208
Male,46,High School Degree,Employed,precarious life,"A 46-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.015097970142960548
Female,43,No High School Degree,Employed,precarious life,"A 43-year-old Female with No High School Degree, now Employed, teeters on a fragile edge.",0.0359463207423687
Female,39,No High School Degree,Employed,unstable life,"This 39-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.08632934838533401
Female,43,No High School Degree,Employed,unstable life,"This 43-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.08910572528839111
Male,57,High School Degree,Employed,stable and supportive life,"This Male, aged 57, with High School Degree and Employed, thrives in a life well-grounded.",0.003213538322597742
Male,59,Degree,Employed,stable and supportive life,"This Male, aged 59, with Degree and Employed, rests securely in an anchored existence.",0.0030627588275820017
Male,46,High School Degree,Employed,moderate stability,"This 46-year-old Male, with High School Degree and Employed, navigates days of calm balance.",0.01518280990421772
Male,59,High School Degree,Employed,precarious life,"A 59-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.011730970814824104
Female,44,No High School Degree,Unemployed,unstable life,"A 44-year-old Female with No High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.09424590319395065
Female,46,Degree,Unemployed,unstable life,"This 46-year-old Female, holding Degree education and being Unemployed, wades through chaos.",0.68479323387146
Male,42,High School Degree,Employed,precarious life,"This Male of 42 years, armed with High School Degree and currently Employed, balances hopes in a fragile reality.",0.007522131782025099
Female,33,No High School Degree,Unemployed,moderate stability,"This 33-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.40866199135780334
Female,58,No High School Degree,Employed,moderate stability,"This 58-year-old Female, with No High School Degree and Employed, embraces a life of moderate routine.",0.12208416312932968
Female,56,No High School Degree,Employed,moderate stability,"A 56-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.024739552289247513
Female,45,No High School Degree,Unemployed,precarious life,"A 45-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.2011604756116867
Male,55,No High School Degree,Employed,stable and supportive life,"This Male, aged 55, with No High School Degree and Employed, rests securely in an anchored existence.",0.00754679786041379
Male,55,Degree,Employed,moderate stability,"This 55-year-old Male, with Degree and Employed, navigates days of calm balance.",0.011911737732589245
Male,39,High School Degree,Employed,moderate stability,"This 39-year-old Male, with High School Degree and Employed, embraces a life of moderate routine.",0.048550862818956375
Male,47,High School Degree,Employed,moderate stability,"A 47-year-old Male, High School Degree achieved and Employed, lives in steady rhythms.",0.00680147297680378
Male,54,No High School Degree,Employed,precarious life,"A 54-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.03896414116024971
Female,38,No High School Degree,Unemployed,unstable life,"This 38-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.707473874092102
Female,50,No High School Degree,Unemployed,precarious life,"This Female of 50 years, armed with No High School Degree and currently Unemployed, faces each day as a delicate balancing act.",0.09451267123222351
Male,43,No High School Degree,Employed,stable and supportive life,"This Male, aged 43, with No High School Degree and Employed, savors the comforts of stability.",0.0035642883740365505
Female,48,High School Degree,Unemployed,unstable life,"A 48-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.03968153893947601
Female,45,High School Degree,Employed,unstable life,"A 45-year-old Female with High School Degree education and currently Employed, faces days of constant flux.",0.024566402658820152
Female,34,No High School Degree,Employed,unstable life,"This 34-year-old Female, holding No High School Degree education and being Employed, tries to catch stability in motion.",0.10231289267539978
Female,53,No High School Degree,Unemployed,unstable life,"A 53-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.1373099684715271
Male,48,No High School Degree,Employed,stable and supportive life,"This Male, aged 48, with No High School Degree and Employed, thrives in a life well-grounded.",0.00710968766361475
Male,46,No High School Degree,Employed,moderate stability,"A 46-year-old Male, No High School Degree achieved and Employed, lives in steady rhythms.",0.03068832866847515
Female,51,No High School Degree,Unemployed,precarious life,"This Female of 51 years, armed with No High School Degree and currently Unemployed, steps carefully in a fragile world.",0.15379799902439117
Female,54,No High School Degree,Employed,unstable life,"This 54-year-old Female, holding No High School Degree education and being Employed, moves through an ever-changing landscape.",0.13281619548797607
Female,42,No High School Degree,Unemployed,precarious life,"This Female of 42 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.16065678000450134
Male,50,No High School Degree,Employed,precarious life,"This Male of 50 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.012552454136312008
Female,49,Degree,Employed,unstable life,"A 49-year-old Female with Degree education and currently Employed, navigates tumultuous waters.",0.01708107441663742
Female,54,Degree,Unemployed,precarious life,"A 54-year-old Female with Degree, now Unemployed, finds the ground beneath ever so brittle.",0.2417784333229065
Male,50,No High School Degree,Employed,precarious life,"A 50-year-old Male with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.06956027448177338
Female,48,No High School Degree,Unemployed,moderate stability,"This 48-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.4278374910354614
Female,45,Degree,Employed,moderate stability,"This 45-year-old Female, with Degree and Employed, enjoys days that flow with ease and care.",0.17915213108062744
Female,46,No High School Degree,Employed,unstable life,"A 46-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.009067723527550697
Female,41,No High School Degree,Employed,precarious life,"A 41-year-old Female with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.04719618707895279
Female,30,No High School Degree,Unemployed,moderate stability,"This 30-year-old Female, with No High School Degree and Unemployed, embraces a life of moderate routine.",0.45109471678733826
Female,53,No High School Degree,Employed,moderate stability,"This 53-year-old Female, with No High School Degree and Employed, navigates days of calm balance.",0.012628825381398201
Male,59,PhD,Employed,stable and supportive life,"A 59-year-old Male with PhD, Employed, basks in a secure routine.",0.01468027476221323
Female,35,No High School Degree,Unemployed,moderate stability,"A 35-year-old Female, No High School Degree achieved and Unemployed, lives in steady rhythms.",0.21072499454021454
Female,39,High School Degree,Unemployed,unstable life,"This 39-year-old Female, holding High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.3235446512699127
Female,50,High School Degree,Employed,unstable life,"A 50-year-old Female with High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.0021661906503140926
Female,65,High School Degree,Employed,moderate stability,"A 65-year-old Female, High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.023340506479144096
Female,45,No High School Degree,Employed,unstable life,"A 45-year-old Female with No High School Degree education and currently Employed, faces days of constant flux.",0.05495361611247063
Female,45,No High School Degree,Employed,moderate stability,"A 45-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.04691162332892418
Male,53,No High School Degree,Employed,stable and supportive life,"This Male, aged 53, with No High School Degree and Employed, savors the comforts of stability.",0.0026960454415529966
Male,60,Degree,Employed,moderate stability,"This 60-year-old Male, with Degree and Employed, enjoys days that flow with ease and care.",0.08380042761564255
Female,44,No High School Degree,Unemployed,precarious life,"A 44-year-old Female with No High School Degree, now Unemployed, finds the ground beneath ever so brittle.",0.27744796872138977
Male,45,No High School Degree,Employed,moderate stability,"This 45-year-old Male, with No High School Degree and Employed, navigates days of calm balance.",0.026353755965828896
Male,46,No High School Degree,Employed,precarious life,"A 46-year-old Male with No High School Degree, now Employed, walks a tightrope over uncertainty.",0.041129376739263535
Female,43,No High School Degree,Unemployed,moderate stability,"A 43-year-old Female, No High School Degree achieved and Unemployed, enjoys a life neither chaotic nor overly secure.",0.23199282586574554
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.013663304969668388
Female,60,No High School Degree,Unemployed,precarious life,"This Female of 60 years, armed with No High School Degree and currently Unemployed, balances hopes in a fragile reality.",0.1849895417690277
Male,56,No High School Degree,Employed,stable and supportive life,"This Male, aged 56, with No High School Degree and Employed, thrives in a life well-grounded.",0.005516908131539822
Male,52,No High School Degree,Employed,stable and supportive life,"This Male, aged 52, with No High School Degree and Employed, savors the comforts of stability.",0.002209183294326067
Male,44,High School Degree,Employed,unstable life,"This 44-year-old Male, holding High School Degree education and being Employed, tries to catch stability in motion.",0.043203532695770264
Female,34,No High School Degree,Unemployed,unstable life,"A 34-year-old Female with No High School Degree education and currently Unemployed, navigates tumultuous waters.",0.20946167409420013
Female,52,No High School Degree,Unemployed,unstable life,"This 52-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.5813520550727844
Female,44,No High School Degree,Unemployed,unstable life,"This 44-year-old Female, holding No High School Degree education and being Unemployed, wades through chaos.",0.688319981098175
Female,44,No High School Degree,Employed,unstable life,"A 44-year-old Female with No High School Degree education and currently Employed, struggles to anchor amid shifting sands.",0.01044189278036356
Male,74,No High School Degree,Employed,moderate stability,"This 74-year-old Male, with No High School Degree and Employed, enjoys days that flow with ease and care.",0.05783586949110031
Female,47,High School Degree,Unemployed,unstable life,"A 47-year-old Female with High School Degree education and currently Unemployed, struggles to anchor amid shifting sands.",0.030588021501898766
Female,42,No High School Degree,Employed,precarious life,"This Female of 42 years, armed with No High School Degree and currently Employed, balances hopes in a fragile reality.",0.03195192292332649
Male,50,High School Degree,Employed,stable and supportive life,"This Male, aged 50, with High School Degree and Employed, thrives in a life well-grounded.",0.009088398888707161
Female,53,No High School Degree,Unemployed,unstable life,"This 53-year-old Female, holding No High School Degree education and being Unemployed, moves through an ever-changing landscape.",0.3173052668571472
Male,53,Degree,Employed,stable and supportive life,"A 53-year-old Male with Degree, Employed, basks in a secure routine.",0.07203035801649094
Female,37,No High School Degree,Unemployed,precarious life,"A 37-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.2134038805961609
Female,52,No High School Degree,Employed,unstable life,"A 52-year-old Female with No High School Degree education and currently Employed, faces days of constant flux.",0.020473819226026535
Male,47,Degree,Employed,moderate stability,"This 47-year-old Male, with Degree and Employed, navigates days of calm balance.",0.0163545124232769
Female,64,No High School Degree,Employed,moderate stability,"A 64-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.04759812727570534
Female,61,No High School Degree,Employed,stable and supportive life,"A 61-year-old Female with No High School Degree, Employed, basks in a secure routine.",0.14444874227046967
Male,49,No High School Degree,Employed,moderate stability,"This 49-year-old Male, with No High School Degree and Employed, embraces a life of moderate routine.",0.10063225030899048
Female,62,No High School Degree,Employed,stable and supportive life,"This Female, aged 62, with No High School Degree and Employed, thrives in a life well-grounded.",0.017536722123622894
Female,48,No High School Degree,Employed,precarious life,"This Female of 48 years, armed with No High School Degree and currently Employed, faces each day as a delicate balancing act.",0.016957450658082962
Male,52,High School Degree,Employed,unstable life,"A 52-year-old Male with High School Degree education and currently Employed, faces days of constant flux.",0.006526887882500887
Male,55,High School Degree,Employed,stable and supportive life,"A 55-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.013663304969668388
Male,47,No High School Degree,Employed,stable and supportive life,"This Male, aged 47, with No High School Degree and Employed, rests securely in an anchored existence.",0.006303895730525255
Male,50,High School Degree,Employed,stable and supportive life,"This Male, aged 50, with High School Degree and Employed, savors the comforts of stability.",0.0029844532255083323
Female,56,No High School Degree,Employed,precarious life,"A 56-year-old Female with No High School Degree, now Employed, finds the ground beneath ever so brittle.",0.05676283687353134
Male,46,High School Degree,Employed,precarious life,"A 46-year-old Male with High School Degree, now Employed, walks a tightrope over uncertainty.",0.015097970142960548
Male,49,High School Degree,Employed,stable and supportive life,"A 49-year-old Male with High School Degree, Employed, lives surrounded by stability and care.",0.02150084637105465
Male,41,Degree,Employed,precarious life,"This Male of 41 years, armed with Degree and currently Employed, balances hopes in a fragile reality.",0.01252426952123642
Male,57,No High School Degree,Employed,stable and supportive life,"A 57-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.022474903613328934
Female,68,High School Degree,Employed,stable and supportive life,"A 68-year-old Female with High School Degree, Employed, flourishes in a supportive environment.",0.012882987037301064
Female,41,Degree,Employed,precarious life,"This Female of 41 years, armed with Degree and currently Employed, faces each day as a delicate balancing act.",0.006594039965420961
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, basks in a secure routine.",0.04218107461929321
Male,62,High School Degree,Employed,stable and supportive life,"A 62-year-old Male with High School Degree, Employed, flourishes in a supportive environment.",0.012804079800844193
Female,45,No High School Degree,Unemployed,unstable life,"A 45-year-old Female with No High School Degree education and currently Unemployed, faces days of constant flux.",0.21403323113918304
Male,57,Degree,Employed,stable and supportive life,"A 57-year-old Male with Degree, Employed, flourishes in a supportive environment.",0.010159491561353207
Male,42,No High School Degree,Employed,moderate stability,"A 42-year-old Male, No High School Degree achieved and Employed, enjoys a life neither chaotic nor overly secure.",0.06136253476142883
Male,56,High School Degree,Employed,stable and supportive life,"This Male, aged 56, with High School Degree and Employed, savors the comforts of stability.",0.0023351681884378195
Female,46,High School Degree,Employed,precarious life,"A 46-year-old Female with High School Degree, now Employed, finds the ground beneath ever so brittle.",0.020353691652417183
Male,60,No High School Degree,Employed,stable and supportive life,"A 60-year-old Male with No High School Degree, Employed, lives surrounded by stability and care.",0.04992120340466499
Female,57,High School Degree,Employed,precarious life,"This Female of 57 years, armed with High School Degree and currently Employed, steps carefully in a fragile world.",0.011163778603076935
Female,63,No High School Degree,Unemployed,unstable life,"This 63-year-old Female, holding No High School Degree education and being Unemployed, tries to catch stability in motion.",0.2554604709148407
Male,58,High School Degree,Employed,stable and supportive life,"This Male, aged 58, with High School Degree and Employed, savors the comforts of stability.",0.0018179223407059908
Female,48,High School Degree,Employed,unstable life,"This 48-year-old Female, holding High School Degree education and being Employed, moves through an ever-changing landscape.",0.10443525016307831
Female,49,No High School Degree,Unemployed,precarious life,"A 49-year-old Female with No High School Degree, now Unemployed, teeters on a fragile edge.",0.18888743221759796
Male,52,High School Degree,Employed,stable and supportive life,"A 52-year-old Male with High School Degree, Employed, basks in a secure routine.",0.04218107461929321
Male,56,Degree,Employed,stable and supportive life,"A 56-year-old Male with Degree, Employed, flourishes in a supportive environment.",0.01419333927333355
Female,48,No High School Degree,Employed,moderate stability,"A 48-year-old Female, No High School Degree achieved and Employed, lives in steady rhythms.",0.03891279548406601
