Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
Non-White,47,No prior convictions,"This 47-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,57,Some priors,A 57-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,44,No prior convictions,"A White-Caucasian, age 44, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,33,No prior convictions,"A Non-White, age 33, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,40,Some priors,A 40-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,54,Many priors,"This 54-year-old White-Caucasian, with Many priors, moves gently through a world held together by care and consistency.",0.62
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,64,Some priors,"A White-Caucasian, age 64, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.32
Non-White,48,No prior convictions,"At 48, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,52,Some priors,"At 52, this White-Caucasian with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,57,No prior convictions,"A Non-White, age 57, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,65,Many priors,"At 65, this Non-White with Many priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,67,Some priors,"A Non-White, age 67, with Some priors, stands in the eye of a storm that rarely calms.",0.2
White-Caucasian,57,No prior convictions,"A White-Caucasian of 57, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,52,No prior convictions,"This 52-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,52,Some priors,"At 52, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
Non-White,54,No prior convictions,"At 54, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,50,No prior convictions,"A White-Caucasian, age 50, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,43,Some priors,"At 43, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.72
White-Caucasian,52,Some priors,"A White-Caucasian, age 52, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,46,Many priors,"A White-Caucasian of 46, with Many priors, follows a path of routine punctuated by manageable turns.",0.1
Non-White,51,Some priors,"A Non-White, age 51, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
Non-White,54,No prior convictions,"At 54, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,48,No prior convictions,"At 48, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,58,No prior convictions,"A White-Caucasian of 58, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,43,No prior convictions,"At 43, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
White-Caucasian,50,Some priors,A 50-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
Non-White,41,Some priors,"At 41, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,33,No prior convictions,"This 33-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian, with Some priors, moves gently through a world held together by care and consistency.",0.62
White-Caucasian,45,No prior convictions,"A White-Caucasian, age 45, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.72
Non-White,60,Some priors,"This 60-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.72
White-Caucasian,54,No prior convictions,"A White-Caucasian of 54, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,39,No prior convictions,"A Non-White, age 39, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,61,Some priors,"At 61, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,56,Some priors,"At 56, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,51,No prior convictions,"At 51, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,44,Some priors,A 44-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,48,No prior convictions,"This White-Caucasian, 48 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,61,No prior convictions,"This 61-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,62,No prior convictions,"This 62-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
White-Caucasian,65,Some priors,"At 65, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
Non-White,46,No prior convictions,"This Non-White, 46 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,41,No prior convictions,"At 41, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,53,Some priors,A 53-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,36,No prior convictions,"A White-Caucasian of 36, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,56,Some priors,"A White-Caucasian, age 56, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,53,No prior convictions,"A White-Caucasian, age 53, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,57,No prior convictions,"A White-Caucasian, age 57, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
White-Caucasian,46,No prior convictions,"At 46, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,39,No prior convictions,"A White-Caucasian, age 39, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.72
White-Caucasian,32,No prior convictions,"At 32, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
Non-White,48,No prior convictions,"At 48, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,66,Many priors,"This 66-year-old White-Caucasian, with Many priors, tries to find direction in the whirlwind of endless transitions.",0.25
White-Caucasian,66,No prior convictions,"This 66-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,46,No prior convictions,"This 46-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
Non-White,45,Some priors,"This 45-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.63
Non-White,51,No prior convictions,"This 51-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,40,No prior convictions,"This 40-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
Non-White,47,Some priors,"A Non-White, age 47, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
White-Caucasian,55,No prior convictions,"A White-Caucasian of 55, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,60,No prior convictions,"At 60, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,46,Some priors,"A Non-White, age 46, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
White-Caucasian,50,Some priors,A 50-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
Non-White,44,Some priors,"This Non-White, 44 years old with Some priors, balances on fragile ground that might give at any moment.",0.0
White-Caucasian,48,No prior convictions,"A White-Caucasian, age 48, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,47,Many priors,"At 47, this Non-White with Many priors finds peace in days cradled by routine and warmth.",0.62
Non-White,53,No prior convictions,"This 53-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,42,Many priors,"A Non-White of 42, with Many priors, follows a path of routine punctuated by manageable turns.",0.1
White-Caucasian,61,No prior convictions,A 61-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,51,Some priors,"At 51, this Non-White with Some priors lives among shifting sands and unanchored hours.",0.2
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,47,No prior convictions,"This White-Caucasian, 47 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,32,No prior convictions,"This 32-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,54,No prior convictions,"At 54, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,53,No prior convictions,"At 53, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,50,Some priors,"At 50, this Non-White with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,45,Some priors,"A Non-White, age 45, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
Non-White,51,Many priors,"At 51, this Non-White with Many priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,38,No prior convictions,"This 38-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.63
Non-White,45,No prior convictions,"At 45, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,56,No prior convictions,A 56-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors lives among shifting sands and unanchored hours.",0.1
Non-White,53,No prior convictions,"This Non-White, 53 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,37,No prior convictions,"At 37, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.72
White-Caucasian,58,Some priors,"A White-Caucasian, age 58, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,43,Some priors,"A White-Caucasian, age 43, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,62,No prior convictions,"A White-Caucasian, age 62, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,41,Some priors,"At 41, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,42,No prior convictions,"At 42, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,51,Many priors,A 51-year-old White-Caucasian with Many priors walks a tightrope stretched over uncertain days.,0.2
White-Caucasian,62,No prior convictions,"This 62-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,42,No prior convictions,"This Non-White, 42 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
White-Caucasian,56,No prior convictions,"At 56, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,55,No prior convictions,A 55-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,52,No prior convictions,A 52-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,46,Some priors,"A Non-White of 46, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
Non-White,42,Some priors,"This 42-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.63
White-Caucasian,55,Many priors,"A White-Caucasian, age 55, with Many priors, stands in the eye of a storm that rarely calms.",0.1
Non-White,43,Some priors,"At 43, this Non-White with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,28,No prior convictions,"At 28, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,53,Some priors,"A Non-White of 53, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
Non-White,52,Some priors,"At 52, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
Non-White,31,No prior convictions,"A Non-White of 31, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,46,No prior convictions,"This 46-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,58,Some priors,"This 58-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,62,No prior convictions,"At 62, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,54,No prior convictions,"A White-Caucasian, age 54, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,44,No prior convictions,"A Non-White of 44, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,58,Some priors,"At 58, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,46,Some priors,"This Non-White, 46 years old with Some priors, balances on fragile ground that might give at any moment.",0.0
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
White-Caucasian,47,No prior convictions,A 47-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
Non-White,42,Many priors,"This 42-year-old Non-White, holding Many priors, moves with a steady rhythm through life’s soft cadence.",0.63
Non-White,46,Some priors,"This 46-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
Non-White,62,No prior convictions,A 62-year-old Non-White with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,47,No prior convictions,"A Non-White, age 47, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,44,No prior convictions,"At 44, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.72
White-Caucasian,50,No prior convictions,"A White-Caucasian, age 50, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
White-Caucasian,43,No prior convictions,"A White-Caucasian, age 43, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,60,No prior convictions,"At 60, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,54,Some priors,"A White-Caucasian, age 54, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,52,Some priors,"A White-Caucasian, age 52, with Some priors, stands in the eye of a storm that rarely calms.",0.15
White-Caucasian,70,Some priors,"This 70-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,46,No prior convictions,A 46-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,62,No prior convictions,"A White-Caucasian, age 62, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,47,Some priors,"A Non-White, age 47, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
White-Caucasian,42,Some priors,"At 42, this White-Caucasian with Some priors exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,60,No prior convictions,"This 60-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,43,No prior convictions,"This 43-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
Non-White,61,No prior convictions,"This 61-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,53,No prior convictions,"A Non-White, age 53, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,44,No prior convictions,"At 44, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,55,No prior convictions,"At 55, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,52,No prior convictions,"This White-Caucasian, 52 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,59,No prior convictions,"This 59-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,50,Many priors,"At 50, this Non-White with Many priors finds peace in days cradled by routine and warmth.",0.62
Non-White,41,Many priors,"This 41-year-old Non-White, with Many priors, moves gently through a world held together by care and consistency.",0.72
Non-White,40,No prior convictions,"At 40, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,58,No prior convictions,"This White-Caucasian, 58 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,48,Many priors,"At 48, this White-Caucasian with Many priors exists in a world of tentative steps and fleeting certainties.",0.12
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,44,No prior convictions,"At 44, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,48,No prior convictions,"At 48, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.72
Non-White,60,No prior convictions,"A Non-White, age 60, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,43,Some priors,"At 43, this Non-White with Some priors exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,47,Many priors,"At 47, this Non-White with Many priors finds peace in days cradled by routine and warmth.",0.62
White-Caucasian,57,No prior convictions,"This 57-year-old White-Caucasian, with No prior convictions, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,53,Some priors,"At 53, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,49,Some priors,"This 49-year-old White-Caucasian, with Some priors, moves gently through a world held together by care and consistency.",0.68
White-Caucasian,42,Some priors,"This 42-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
Non-White,49,No prior convictions,"This 49-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,50,No prior convictions,"This White-Caucasian, 50 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,52,No prior convictions,"A Non-White, age 52, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,59,Some priors,"This Non-White, 59 years old with Some priors, balances on fragile ground that might give at any moment.",0.0
White-Caucasian,73,No prior convictions,"This 73-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,50,No prior convictions,"A Non-White, age 50, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,56,No prior convictions,"This 56-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,47,Some priors,"This 47-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.72
Non-White,47,No prior convictions,"At 47, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,49,No prior convictions,"At 49, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,59,No prior convictions,"This White-Caucasian, 59 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,45,No prior convictions,A 45-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,59,Some priors,"This Non-White, 59 years old with Some priors, balances on fragile ground that might give at any moment.",0.0
Non-White,57,No prior convictions,"A Non-White of 57, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,46,No prior convictions,"This 46-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,32,No prior convictions,"This 32-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,42,No prior convictions,"This 42-year-old White-Caucasian, with No prior convictions, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,63,Some priors,"This 63-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,49,No prior convictions,A 49-year-old Non-White with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,47,No prior convictions,"A White-Caucasian, age 47, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,45,No prior convictions,"At 45, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,56,No prior convictions,"At 56, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,49,Some priors,"A Non-White, age 49, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
Non-White,49,No prior convictions,A 49-year-old Non-White with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,51,No prior convictions,"A White-Caucasian, age 51, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,50,No prior convictions,"At 50, this Non-White with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,40,Some priors,"A White-Caucasian, age 40, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.6
White-Caucasian,60,No prior convictions,"At 60, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,51,No prior convictions,"At 51, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,62,No prior convictions,"This 62-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,58,No prior convictions,"A Non-White of 58, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,61,No prior convictions,"A White-Caucasian, age 61, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,43,No prior convictions,"A Non-White, age 43, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,50,Some priors,"A Non-White of 50, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,54,No prior convictions,"At 54, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,47,Some priors,"This 47-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,47,No prior convictions,"A Non-White, age 47, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,43,No prior convictions,"This Non-White, 43 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,59,No prior convictions,"At 59, this Non-White with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.2
Non-White,43,Some priors,"At 43, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,46,No prior convictions,"A Non-White, age 46, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,47,No prior convictions,"This 47-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian, with Some priors, moves gently through a world held together by care and consistency.",0.62
Non-White,55,No prior convictions,"This Non-White, 55 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,50,No prior convictions,"At 50, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
Non-White,53,Some priors,"At 53, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
Non-White,39,Many priors,"At 39, this Non-White with Many priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,51,No prior convictions,"This White-Caucasian, 51 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,59,No prior convictions,"A Non-White, age 59, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,46,Some priors,"At 46, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,45,No prior convictions,"At 45, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
White-Caucasian,58,Many priors,"At 58, this White-Caucasian with Many priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,51,No prior convictions,A 51-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,56,No prior convictions,"A White-Caucasian, age 56, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,57,Many priors,"A White-Caucasian, age 57, with Many priors, stands in the eye of a storm that rarely calms.",0.1
White-Caucasian,58,No prior convictions,"This 58-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,56,Some priors,"A Non-White of 56, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
Non-White,50,No prior convictions,"This 50-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,47,Some priors,"This 47-year-old Non-White, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.63
White-Caucasian,50,Some priors,"At 50, this White-Caucasian with Some priors finds peace in days cradled by routine and warmth.",0.32
White-Caucasian,64,No prior convictions,A 64-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
White-Caucasian,51,Some priors,"This White-Caucasian, 51 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
Non-White,39,Some priors,"At 39, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
White-Caucasian,60,No prior convictions,"A White-Caucasian, age 60, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,44,No prior convictions,"A Non-White, age 44, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,39,No prior convictions,"A White-Caucasian, age 39, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,51,No prior convictions,"This 51-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,50,No prior convictions,"This 50-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,45,No prior convictions,"At 45, this White-Caucasian with No prior convictions finds peace in days cradled by routine and warmth.",0.32
Non-White,52,No prior convictions,"This 52-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
Non-White,46,Some priors,"This 46-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,59,Some priors,"This 59-year-old White-Caucasian, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,46,No prior convictions,"At 46, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,48,Some priors,"A Non-White, age 48, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.63
Non-White,47,No prior convictions,"This 47-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
Non-White,53,Many priors,"At 53, this Non-White with Many priors resides in a space of quiet rituals and mild tempo.",0.32
Non-White,52,No prior convictions,"A Non-White of 52, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,43,Some priors,A 43-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,56,Some priors,"At 56, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
White-Caucasian,45,Some priors,"This 45-year-old White-Caucasian, holding Some priors, moves with a steady rhythm through life’s soft cadence.",0.32
